molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL2177203,Inactive,5.0773264321414455,O=C(O)C[C@@H]1C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,431.105498956,2,1,5.551500000000004,True
CHEMBL2347389,Inactive,5.086186147616283,O=C(O)C[C@@H]1O[C@@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,433.08476351200005,3,1,4.887900000000005,True
CHEMBL2347377,Inactive,5.216096420727265,O=C(O)C[C@@H]1O[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,433.08476351200005,3,1,4.887900000000005,True
CHEMBL2347378,Inactive,4.818156412055227,O=C(O)C[C@H]1C[C@@H](c2cccc(Cl)c2)[C@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,431.105498956,2,1,5.551500000000004,True
CHEMBL2177813,Inactive,5.357970981804577,O=C(O)C[C@H]1C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,431.105498956,2,1,5.551500000000004,True
CHEMBL2347376,Inactive,5.134896025358872,O=C(O)C[C@H]1O[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,433.08476351200005,3,1,4.887900000000005,True
CHEMBL2347392,Inactive,5.130768280269024,O=C(O)C[C@H]1O[C@H](c2cccc(Cl)c2)[C@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,433.08476351200005,3,1,4.887900000000005,True
CHEMBL3260809,Inactive,6.920818753952375,O=C(O)c1nc(-c2ccccc2)n(-c2cccc(Cl)c2)c1-c1cccc(Cl)c1,408.043233048,3,1,6.211300000000003,True
CHEMBL3260813,Active,8.522878745280337,O=C(O)c1nc(-c2ccccc2)n(-c2cccc(Cl)c2F)c1-c1ccc(F)c(Cl)c1,444.024389424,3,1,6.489500000000002,True
CHEMBL3260811,Active,8.154901959985743,O=C(O)c1nc(-c2ccccc2)n(-c2cccc(Cl)c2F)c1-c1cccc(Cl)c1,426.033811236,3,1,6.350400000000003,True
CHEMBL3260814,Active,8.397940008672037,O=C(O)c1nc(C2CCCCC2)n(-c2cccc(Cl)c2F)c1-c1ccc(F)c(Cl)c1,450.071339616,3,1,6.870200000000004,True
CHEMBL3139629,Inactive,5.638272163982407,O=C(c1cnccc1C(F)(F)F)N1CCCC(Oc2ccc(C(F)(F)F)cc2)(C(=O)N2CCN(c3ccccn3)CC2)C1,607.201809044,6,0,4.916800000000005,True
CHEMBL3219402,Inactive,4.581698708680254,O=C1C(O)=C(c2ccccc2)C(c2ccc(Cl)cc2)N1Cc1ccc(Cl)cc1,409.06363414400005,2,1,6.046200000000005,True
CHEMBL3675216,Inactive,5.55129368009492,O=C1C2=C(CCCC2)C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,398.10333476799997,4,1,4.306300000000003,True
CHEMBL8320,Inactive,4.856985199745905,O=C1C=CC(=O)C=C1,108.021129368,2,0,0.25059999999999993,True
CHEMBL2152322,Inactive,5.022276394711152,O=C1CN(C(=O)C2=C(C3CC3)N3C(=N[C@@H](c4ccc(Cl)cc4)[C@H]3c3ccc(Cl)cc3)S2)CCN1,512.084052304,5,1,4.774200000000005,True
CHEMBL2347385,Inactive,5.7447274948966935,O=C1CO[C@@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N1CC1CC1,375.07928420800005,2,0,5.044600000000004,True
CHEMBL3220097,Inactive,6.522878745280337,O=C1NC(=O)C(=Cc2cc(-c3ccccc3)n(-c3ccc(Cl)cc3)c2-c2ccccc2)C(=O)N1,467.103669116,4,2,5.214100000000004,True
CHEMBL3220103,Inactive,6.823908740944319,O=C1NC(=O)C(=Cc2cc(-c3ccccc3)n(-c3ccc([N+](=O)[O-])cc3)c2-c2ccccc2)C(=O)N1,478.12771967599997,6,2,4.468900000000003,True
CHEMBL3220118,Inactive,5.795880017344075,O=C1NC(=S)NC(=O)C1=Cc1cc(-c2ccccc2)n(-c2ccc(Br)cc2)c1C1CC1,491.030309916,4,2,4.698500000000003,True
CHEMBL3220088,Inactive,6.958607314841775,O=C1NC(=S)NC(=O)C1=Cc1cc(-c2ccccc2)n(-c2ccc(Cl)cc2)c1-c1ccccc1,483.08082549600005,4,2,5.379000000000004,True
CHEMBL3220117,Inactive,5.795880017344075,O=C1NC(=S)NC(=O)C1=Cc1cc(-c2ccccc2)n(-c2ccc(Cl)cc2)c1C1CC1,447.08082549600005,4,2,4.589400000000003,True
CHEMBL3217780,Inactive,6.769551078621726,O=C1NC(=S)NC(=O)C1=Cc1cc(-c2ccccc2)n(-c2ccc([N+](=O)[O-])cc2)c1-c1ccccc1,494.104876056,6,2,4.633800000000003,True
CHEMBL3220310,Inactive,5.657577319177793,O=C1NC(=S)NC(=O)C1=Cc1cc(C2CC2)n(-c2ccc(Br)cc2)c1-c1ccccc1,491.030309916,4,2,4.698500000000003,True
CHEMBL3220309,Inactive,5.6777807052660805,O=C1NC(=S)NC(=O)C1=Cc1cc(C2CC2)n(-c2ccc(Cl)cc2)c1-c1ccccc1,447.080825496,4,2,4.589400000000003,True
CHEMBL4437666,Active,8.920818753952375,O=C1Nc2cc(Cl)ccc2[C@@]1(Cc1cccc(Cl)c1)Nc1c(F)cccc1F,418.045124868,2,2,5.773800000000003,True
CHEMBL2347388,Inactive,5.11690664142431,O=C1[C@H](CCO)O[C@@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N1CC1CC1,419.1054989560001,3,1,4.795600000000005,True
CHEMBL3675221,Inactive,5.342944147142896,O=C1c2c(Cl)cccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,428.033062288,4,1,4.751000000000003,True
CHEMBL3675218,Inactive,5.270025714300444,O=C1c2cc(Br)ccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,471.98254670800003,4,1,4.860100000000003,True
CHEMBL3675212,Inactive,5.284832642151542,O=C1c2cc(F)ccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,412.062612828,4,1,4.2367000000000035,True
CHEMBL1834379,Inactive,6.069560405233299,O=C1c2cc(F)ccc2C(OCC2(CO)CC2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,496.12012770399997,5,1,5.0335000000000045,True
CHEMBL3675219,Inactive,5.245651664288981,O=C1c2ccc(Br)cc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,471.98254670800003,4,1,4.860100000000003,True
CHEMBL3675211,Inactive,5.424812155072339,O=C1c2ccc(F)cc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,412.062612828,4,1,4.2367000000000035,True
CHEMBL1834374,Inactive,6.530177984021837,O=C1c2ccc(F)cc2C(OCC2(CO)CC2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,496.12012770399997,5,1,5.0335000000000045,True
CHEMBL3675215,Inactive,6.072116589669293,O=C1c2cccc(Cl)c2C(O)(c2ccc(Cl)cc2)N1Cc1ccc(Br)cc1,460.95849614800005,2,1,5.605300000000004,True
CHEMBL3675210,Inactive,6.292429823902063,O=C1c2cccc(Cl)c2C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,428.033062288,4,1,4.751000000000003,True
CHEMBL1688147,Inactive,5.508638306165727,O=C1c2ccccc2C(O)(c2ccc(Br)cc2)N1Cc1ccc([N+](=O)[O-])cc1,438.02151906,4,1,4.206700000000003,True
CHEMBL1688150,Inactive,5.207608310501746,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1CCc1ccc([N+](=O)[O-])cc1,408.08768470399997,4,1,4.140100000000003,True
CHEMBL1688149,Inactive,5.142667503568732,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1CCc1ccccc1,363.10260649599996,2,1,4.231900000000003,True
CHEMBL1688140,Inactive,5.346787486224656,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc(Br)cc1,426.9974685,2,1,4.951900000000002,True
